,structure_name,structure_path,site Number,site AtomicWeight,site Row,site Column,site Electronegativity,site CovalentRadius,AGNI eta=8.00e-01,AGNI eta=1.23e+00,AGNI eta=1.88e+00,AGNI eta=2.89e+00,AGNI eta=4.43e+00,AGNI eta=6.80e+00,AGNI eta=1.04e+01,AGNI eta=1.60e+01,G2_0.05,G2_4.0,G2_20.0,G2_80.0,G4_0.005_1.0_1.0,G4_0.005_1.0_-1.0,G4_0.005_4.0_1.0,G4_0.005_4.0_-1.0,local difference in Number,local difference in AtomicWeight,local difference in Row,local difference in Column,local difference in Electronegativity,local difference in CovalentRadius,local signed difference in Number,local signed difference in AtomicWeight,local signed difference in Row,local signed difference in Column,local signed difference in Electronegativity,local signed difference in CovalentRadius,maximum local difference in Number,maximum local difference in AtomicWeight,maximum local difference in Row,maximum local difference in Column,maximum local difference in Electronegativity,maximum local difference in CovalentRadius,minimum local difference in Number,minimum local difference in AtomicWeight,minimum local difference in Row,minimum local difference in Column,minimum local difference in Electronegativity,minimum local difference in CovalentRadius
ALIDIL_ASR.cif_12,ALIDIL_ASR.cif,example,1.0,1.00794,1.0,1.0,2.2,31.0,0.3334456973949346,0.7686705426990509,1.6968943317164604,3.1652239608366153,4.570981596986322,5.481504308056621,5.952559817801691,6.170949275716294,6.252573487050112,2.6399365474456666,0.645839344345057,0.10883309650680072,8.202505312982316,3.1171984153315817,5.311600671355396,0.9763546238626877,6.005420088211302,12.893299167707374,0.8888270868208501,13.116036782778103,1.0058611514649352,32.190795636402996,6.005420088211302,12.893299167707374,0.8888270868208501,13.116036782778103,1.0058611514649352,32.190795636402996,7.0,14.99146,1.0,15.0,1.2399999999999998,45.0,0.0,0.0,0.0,0.0,0.0,0.0
ALIDIL_ASR.cif_13,ALIDIL_ASR.cif,example,1.0,1.00794,1.0,1.0,2.2,31.0,0.33344569739493624,0.7686705426990524,1.696894331716462,3.1652239608366175,4.570981596986324,5.481504308056621,5.95255981780169,6.170949275716294,6.252573487050111,2.639936547445669,0.6458393443450584,0.10883309650680156,8.202505312982323,3.11719841533158,5.311600671355404,0.9763546238626888,6.005420088211302,12.893299167707374,0.88882708682085,13.116036782778098,1.005861151464935,32.19079563640299,6.005420088211302,12.893299167707374,0.88882708682085,13.116036782778098,1.005861151464935,32.19079563640299,7.0,14.99146,1.0,15.0,1.2399999999999998,45.0,0.0,0.0,0.0,0.0,0.0,0.0
ALIDIL_ASR.cif_14,ALIDIL_ASR.cif,example,1.0,1.00794,1.0,1.0,2.2,31.0,0.33344569739493735,0.7686705426990532,1.6968943317164615,3.1652239608366166,4.570981596986323,5.481504308056621,5.952559817801692,6.1709492757162945,6.25257348705011,2.639936547445668,0.6458393443450595,0.10883309650680234,8.20250531298232,3.1171984153315804,5.311600671355401,0.976354623862689,6.005420088211299,12.893299167707367,0.8888270868208495,13.116036782778092,1.0058611514649345,32.190795636402974,6.005420088211299,12.893299167707367,0.8888270868208495,13.116036782778092,1.0058611514649345,32.190795636402974,7.0,14.99146,1.0,15.0,1.2399999999999998,45.0,0.0,0.0,0.0,0.0,0.0,0.0
ALIDIL_ASR.cif_15,ALIDIL_ASR.cif,example,1.0,1.00794,1.0,1.0,2.2,31.0,0.33344569739493496,0.7686705426990516,1.696894331716461,3.1652239608366157,4.570981596986323,5.4815043080566195,5.95255981780169,6.170949275716293,6.2525734870501095,2.6399365474456675,0.6458393443450575,0.10883309650680086,8.202505312982316,3.117198415331579,5.311600671355397,0.9763546238626882,6.0054200882113,12.893299167707367,0.8888270868208495,13.116036782778096,1.005861151464935,32.19079563640298,6.0054200882113,12.893299167707367,0.8888270868208495,13.116036782778096,1.005861151464935,32.19079563640298,7.0,14.99146,1.0,15.0,1.2399999999999998,45.0,0.0,0.0,0.0,0.0,0.0,0.0
ALIDIL_ASR.cif_16,ALIDIL_ASR.cif,example,6.0,12.0107,2.0,14.0,2.55,76.0,0.16181773890912196,0.7912083199849499,1.856712076332651,3.255482028111895,4.5465683933644785,5.383281899681588,5.817810593388159,6.019729492650694,6.0952768380735645,2.767255436975344,0.61378198189911,0.010369778833396653,6.920170676587626,3.7118939632304984,3.9845338501774803,1.1991293380651946,2.2504117893361526,4.757669578830105,0.11329423456209722,2.2771772604465768,0.641197461371601,11.39545857275129,1.6911140559236724,3.526905832973804,0.0014346878796011558,0.40233043795456697,0.5511834644169079,-7.035759519966751,33.0,76.89515,3.0,2.0,0.8900000000000001,114.0,-5.0,-11.00276,-1.0,-13.0,-1.3299999999999998,-45.0
ALIDIL_ASR.cif_17,ALIDIL_ASR.cif,example,6.0,12.0107,2.0,14.0,2.55,76.0,0.16181773890912082,0.791208319984948,1.8567120763326492,3.255482028111894,4.546568393364477,5.383281899681588,5.817810593388159,6.019729492650695,6.095276838073564,2.767255436975343,0.6137819818991082,0.010369778833396476,6.920170676587626,3.7118939632304953,3.9845338501774816,1.199129338065192,2.250411789336132,4.757669578830055,0.11329423456209534,2.27717726044657,0.6411974613716004,11.395458572751219,1.6911140559236504,3.5269058329737524,0.0014346878795990915,0.40233043795457324,0.5511834644169088,-7.035759519966832,33.0,76.89515,3.0,2.0,0.8900000000000001,114.0,-5.0,-11.00276,-1.0,-13.0,-1.3299999999999998,-45.0
ALIDIL_ASR.cif_18,ALIDIL_ASR.cif,example,6.0,12.0107,2.0,14.0,2.55,76.0,0.16181773890912096,0.7912083199849482,1.85671207633265,3.255482028111895,4.546568393364479,5.383281899681589,5.817810593388162,6.019729492650695,6.095276838073566,2.767255436975344,0.6137819818991083,0.010369778833396478,6.920170676587634,3.7118939632304944,3.98453385017749,1.1991293380651922,2.250411789336127,4.7576695788300425,0.11329423456209499,2.27717726044657,0.6411974613715999,11.395458572751204,1.6911140559236444,3.526905832973738,0.0014346878795984885,0.4023304379545727,0.5511834644169088,-7.035759519966851,33.0,76.89515,3.0,2.0,0.8900000000000001,114.0,-5.0,-11.00276,-1.0,-13.0,-1.3299999999999998,-45.0
ALIDIL_ASR.cif_19,ALIDIL_ASR.cif,example,6.0,12.0107,2.0,14.0,2.55,76.0,0.16181773890912182,0.7912083199849498,1.8567120763326508,3.2554820281118952,4.546568393364478,5.383281899681588,5.817810593388159,6.0197294926506935,6.0952768380735645,2.7672554369753444,0.6137819818991098,0.010369778833396633,6.920170676587627,3.7118939632304966,3.984533850177483,1.1991293380651937,2.250411789336162,4.757669578830126,0.11329423456209782,2.277177260446576,0.6411974613716017,11.395458572751314,1.6911140559236852,3.5269058329738336,0.0014346878796024593,0.40233043795456874,0.5511834644169079,-7.035759519966704,33.0,76.89515,3.0,2.0,0.8900000000000001,114.0,-5.0,-11.00276,-1.0,-13.0,-1.3299999999999998,-45.0
ALIDIL_ASR.cif_20,ALIDIL_ASR.cif,example,6.0,12.0107,2.0,14.0,2.55,76.0,0.10143038597725267,0.7270763119834494,2.151612476191023,3.9495338932910746,5.383433384494031,6.22769613187954,6.6462073848975365,6.836705279027661,6.907375135520178,3.3532950687960406,0.5245443944618783,0.0036469511624779676,10.668982113869797,5.157008749603995,6.568563560445572,1.6647229573196876,0.541853814061864,1.1014292201235862,0.020157967477820712,0.7031175538844296,0.20332875823661573,3.1124284198657346,0.3402741392836569,0.6578426636310531,-0.020157967477820712,0.17901039946109124,0.18921818100214122,-3.1124284198657346,2.0,3.9886999999999997,0.0,2.0,0.8900000000000001,0.0,-5.0,-11.00276,-1.0,-13.0,-0.34999999999999964,-45.0
ALIDIL_ASR.cif_21,ALIDIL_ASR.cif,example,6.0,12.0107,2.0,14.0,2.55,76.0,0.10143038597725249,0.7270763119834487,2.1516124761910227,3.949533893291073,5.383433384494029,6.227696131879538,6.646207384897534,6.836705279027658,6.907375135520175,3.3532950687960392,0.5245443944618776,0.003646951162477953,10.668982113869792,5.157008749603992,6.5685635604455666,1.664722957319685,0.5418538140618643,1.1014292201235867,0.020157967477820626,0.7031175538844292,0.20332875823661592,3.112428419865734,0.34027413928365796,0.6578426636310553,-0.020157967477820626,0.17901039946109298,0.1892181810021415,-3.112428419865734,2.0,3.9886999999999997,0.0,2.0,0.8900000000000001,0.0,-5.0,-11.00276,-1.0,-13.0,-0.34999999999999964,-45.0
