,structure_name,structure_path,site Number,site AtomicWeight,site Row,site Column,site Electronegativity,site CovalentRadius,AGNI eta=8.00e-01,AGNI eta=1.23e+00,AGNI eta=1.88e+00,AGNI eta=2.89e+00,AGNI eta=4.43e+00,AGNI eta=6.80e+00,AGNI eta=1.04e+01,AGNI eta=1.60e+01,G2_0.05,G2_4.0,G2_20.0,G2_80.0,G4_0.005_1.0_1.0,G4_0.005_1.0_-1.0,G4_0.005_4.0_1.0,G4_0.005_4.0_-1.0,local difference in Number,local difference in AtomicWeight,local difference in Row,local difference in Column,local difference in Electronegativity,local difference in CovalentRadius,local signed difference in Number,local signed difference in AtomicWeight,local signed difference in Row,local signed difference in Column,local signed difference in Electronegativity,local signed difference in CovalentRadius,maximum local difference in Number,maximum local difference in AtomicWeight,maximum local difference in Row,maximum local difference in Column,maximum local difference in Electronegativity,maximum local difference in CovalentRadius,minimum local difference in Number,minimum local difference in AtomicWeight,minimum local difference in Row,minimum local difference in Column,minimum local difference in Electronegativity,minimum local difference in CovalentRadius
ALIDIL_FSR.cif_10,ALIDIL_FSR.cif,example,1.0,1.00794,1.0,1.0,2.2,31.0,0.2408942837063804,0.6492811176032985,1.7118303262495262,3.8700882686561227,6.299272870749718,8.004203538850165,8.918529269315723,9.349071568006721,9.511014025909681,3.044144597840251,0.5300340488082202,0.05802800458921894,14.198694101370451,4.126629016247807,8.936871836161524,0.5863517060852603,3.342882741180591,7.246939185991328,0.562614321022895,7.843797309363753,0.43268096790743477,22.6685887656997,3.342882741180591,7.246939185991328,0.562614321022895,7.843797309363753,0.43268096790743477,22.6685887656997,7.0,14.99146,1.0,15.0,1.2399999999999998,45.0,0.0,0.0,0.0,0.0,0.0,0.0
ALIDIL_FSR.cif_11,ALIDIL_FSR.cif,example,1.0,1.00794,1.0,1.0,2.2,31.0,0.24089428370638039,0.6492811176032992,1.7118303262495278,3.8700882686561244,6.299272870749719,8.004203538850165,8.918529269315725,9.349071568006721,9.511014025909683,3.0441445978402517,0.5300340488082208,0.058028004589218994,14.198694101370458,4.126629016247803,8.936871836161542,0.5863517060852608,3.3428827411805937,7.246939185991333,0.5626143210228953,7.843797309363755,0.4326809679074353,22.668588765699706,3.3428827411805937,7.246939185991333,0.5626143210228953,7.843797309363755,0.4326809679074353,22.668588765699706,7.0,14.99146,1.0,15.0,1.2399999999999998,45.0,0.0,0.0,0.0,0.0,0.0,0.0
ALIDIL_FSR.cif_12,ALIDIL_FSR.cif,example,1.0,1.00794,1.0,1.0,2.2,31.0,0.24643180378734159,0.7325422508495189,1.8899457656315692,3.962750766775721,6.14176879020675,7.6176385703648855,8.395859991227773,8.759558716461711,8.89593231303005,3.191553208796813,0.5879675872401103,0.057670745144642176,14.815897769523762,4.3211428372557945,9.436607216902688,0.7812955977340232,4.523066361416451,9.83694039691348,0.7430371966529441,10.039814404115997,0.5680973161250967,29.831108982243787,4.523066361416451,9.83694039691348,0.7430371966529441,10.039814404115997,0.5557738296570518,29.831108982243787,38.0,87.89791,4.0,15.0,1.2399999999999998,159.0,0.0,0.0,0.0,0.0,-0.9800000000000002,0.0
ALIDIL_FSR.cif_13,ALIDIL_FSR.cif,example,1.0,1.00794,1.0,1.0,2.2,31.0,0.24643180378734145,0.7325422508495194,1.889945765631569,3.962750766775722,6.141768790206751,7.617638570364886,8.395859991227775,8.759558716461711,8.89593231303005,3.1915532087968144,0.5879675872401106,0.05767074514464216,14.815897769523762,4.321142837255801,9.43660721690268,0.7812955977340228,4.523066361416451,9.836940396913482,0.7430371966529441,10.039814404115994,0.5680973161250968,29.831108982243787,4.523066361416451,9.836940396913482,0.7430371966529441,10.039814404115994,0.5557738296570518,29.831108982243787,38.0,87.89791,4.0,15.0,1.2399999999999998,159.0,0.0,0.0,0.0,0.0,-0.9800000000000002,0.0
ALIDIL_FSR.cif_14,ALIDIL_FSR.cif,example,1.0,1.00794,1.0,1.0,2.2,31.0,0.24643180378734356,0.7325422508495221,1.8899457656315712,3.962750766775725,6.141768790206753,7.617638570364887,8.395859991227777,8.759558716461713,8.89593231303005,3.1915532087968166,0.5879675872401132,0.05767074514464304,14.815897769523774,4.321142837255802,9.436607216902692,0.7812955977340248,4.5230663614164515,9.836940396913482,0.7430371966529441,10.039814404115994,0.5680973161250968,29.831108982243784,4.5230663614164515,9.836940396913482,0.7430371966529441,10.039814404115994,0.5557738296570519,29.831108982243784,38.0,87.89791,4.0,15.0,1.2399999999999998,159.0,0.0,0.0,0.0,0.0,-0.9800000000000002,0.0
ALIDIL_FSR.cif_15,ALIDIL_FSR.cif,example,1.0,1.00794,1.0,1.0,2.2,31.0,0.24643180378734245,0.7325422508495196,1.8899457656315692,3.962750766775721,6.14176879020675,7.617638570364883,8.395859991227775,8.75955871646171,8.895932313030052,3.1915532087968135,0.5879675872401114,0.05767074514464254,14.815897769523767,4.321142837255795,9.436607216902688,0.7812955977340231,4.52306636141645,9.836940396913478,0.7430371966529441,10.039814404115996,0.5680973161250968,29.831108982243787,4.52306636141645,9.836940396913478,0.7430371966529441,10.039814404115996,0.5557738296570519,29.831108982243787,38.0,87.89791,4.0,15.0,1.2399999999999998,159.0,0.0,0.0,0.0,0.0,-0.9800000000000002,0.0
ALIDIL_FSR.cif_16,ALIDIL_FSR.cif,example,1.0,1.00794,1.0,1.0,2.2,31.0,0.2513685421737045,0.8997620405928353,2.375153671374021,4.862690966147125,7.394821870888549,9.08870704104052,9.977949396525277,10.3928449624593,10.548317503025801,3.9506041783539545,0.7055131255839081,0.048446913226528145,20.37313729015376,6.876711259501024,12.286843032469255,1.2978467277662924,2.053881630959444,4.468873946210433,0.36139918094890794,4.945075078550707,0.23932511485228514,15.028534511626336,2.053881630959444,4.468873946210433,0.36139918094890794,4.945075078550707,0.23932511485228514,15.028534511626336,7.0,14.99146,1.0,15.0,1.2399999999999998,45.0,0.0,0.0,0.0,0.0,0.0,0.0
ALIDIL_FSR.cif_17,ALIDIL_FSR.cif,example,1.0,1.00794,1.0,1.0,2.2,31.0,0.25136854217370525,0.8997620405928363,2.3751536713740213,4.862690966147123,7.394821870888546,9.08870704104052,9.977949396525275,10.392844962459298,10.5483175030258,3.9506041783539536,0.7055131255839089,0.048446913226528526,20.37313729015375,6.876711259501017,12.286843032469248,1.2978467277662915,2.0538816309594443,4.468873946210434,0.3613991809489078,4.9450750785507065,0.23932511485228525,15.028534511626331,2.0538816309594443,4.468873946210434,0.3613991809489078,4.9450750785507065,0.23932511485228525,15.028534511626331,7.0,14.99146,1.0,15.0,1.2399999999999998,45.0,0.0,0.0,0.0,0.0,0.0,0.0
ALIDIL_FSR.cif_18,ALIDIL_FSR.cif,example,1.0,1.00794,1.0,1.0,2.2,31.0,0.2513685421737056,0.8997620405928365,2.375153671374021,4.862690966147124,7.394821870888547,9.088707041040518,9.977949396525277,10.392844962459304,10.548317503025803,3.9506041783539545,0.7055131255839089,0.04844691322652865,20.373137290153764,6.876711259501015,12.286843032469264,1.2978467277662913,2.0538816309594448,4.468873946210434,0.36139918094890794,4.945075078550707,0.2393251148522854,15.028534511626335,2.0538816309594448,4.468873946210434,0.36139918094890794,4.945075078550707,0.2393251148522854,15.028534511626335,7.0,14.99146,1.0,15.0,1.2399999999999998,45.0,0.0,0.0,0.0,0.0,0.0,0.0
ALIDIL_FSR.cif_19,ALIDIL_FSR.cif,example,1.0,1.00794,1.0,1.0,2.2,31.0,0.2513685421737051,0.8997620405928359,2.375153671374021,4.862690966147126,7.3948218708885465,9.08870704104052,9.977949396525277,10.392844962459298,10.548317503025801,3.9506041783539545,0.7055131255839084,0.04844691322652835,20.373137290153764,6.876711259501021,12.28684303246927,1.2978467277662926,2.0538816309594443,4.468873946210434,0.361399180948908,4.945075078550708,0.23932511485228514,15.028534511626342,2.0538816309594443,4.468873946210434,0.361399180948908,4.945075078550708,0.23932511485228514,15.028534511626342,7.0,14.99146,1.0,15.0,1.2399999999999998,45.0,0.0,0.0,0.0,0.0,0.0,0.0
